Id,Label,type,budget,zip,interestPercentage
R002872,Gauly Advisors GmbH,Consulting,850000.0,60306.0,0.1206896551724138
R001792,DIE PAPIERINDUSTRIE e. V.,Verein/Verband,850000.0,10178.0,0.0416666666666666
R002245,Lockheed Martin Overseas Services Corporation,Unternehmen,840000.0,10117.0,0.0
R002287,Bund für Umwelt und Naturschutz Deutschland e.V. (BUND),Verein/Verband,840000.0,10553.0,0.0
R000892,AOK-Bundesverband,,840000.0,10178.0,0.0
R001406,Bundesdruckerei GmbH,Unternehmen,830000.0,10969.0,0.109375
R001653,MAN Energy Solutions SE,Unternehmen,830000.0,86153.0,0.0638297872340425
R003743,BFW Bundesverband Freier Immobilien- und Wohnungsunternehmen e.V.,Verein/Verband,830000.0,10117.0,0.0
R000994,Lilly Deutschland GmbH,Unternehmen,830000.0,61352.0,0.0476190476190476
R001158,Gilead Sciences GmbH,Unternehmen,820000.0,82152.0,0.0
R001318,Heidelberg Materials (HeidelbergCement AG),Unternehmen,820000.0,69120.0,0.0416666666666666
R002670,Viessmann Climate Solutions SE,Unternehmen,810000.0,35108.0,0.0
R004139,IHK Nord | Arbeitsgemeinschaft Norddeutscher Industrie- und Handelskammern e.V.,Verein/Verband,800000.0,20457.0,0.0
R000873,British American Tobacco (Industrie) GmbH,Unternehmen,800000.0,20354.0,0.0967741935483871
R001784,Axel Springer SE,Unternehmen,800000.0,10888.0,0.1538461538461538
R002142,METRO AG,Unternehmen,800000.0,10117.0,0.0869565217391304
R001801,Infineon Technologies AG,Unternehmen,800000.0,85579.0,0.2
R001396,Union Asset Management Holding AG,Unternehmen,800000.0,60311.0,0.0
R002136,Cisco Systems GmbH,Unternehmen,800000.0,85748.0,0.125
R003889,Bundesarbeitsgemeinschaft der Berufsbildungswerke e. V. (BAG BBW),Verein/Verband,790000.0,10178.0,0.0588235294117647
R000252,BWO - Bundesverband der Windparkbetreiber Offshore,Verein/Verband,790000.0,10178.0,0.0
R001903,PKS Kommunikations- und Strategieberatung GmbH,Consulting,780000.0,10117.0,0.0
R002304,CONCILIUS AG,Consulting,780000.0,80331.0,0.1
R004204,AJC Berlin gGmbH,Verein/Verband,780000.0,10598.0,0.0
R003042,TÜV NORD AG,Unternehmen,780000.0,10117.0,0.0606060606060606
R001230,Baustoff Recycling Bayern e.V.,Verein/Verband,780000.0,85276.0,0.0
R001133,Bundesverband Deutscher Pflanzenzüchter e. V.,Verein/Verband,780000.0,53115.0,0.0
R000755,Verband der Privaten Bausparkassen e.V.,Verein/Verband,770000.0,10785.0,0.0588235294117647
R001765,Leibniz-Gemeinschaft,Verein/Verband,770000.0,10115.0,0.0
R005175,ArcelorMittal Germany Holding GmbH,Unternehmen,770000.0,21129.0,0.0
R001588,Lausitz Energie Bergbau AG,Unternehmen,760000.0,3050.0,0.0303030303030303
R002043,Qualcomm CDMA Technologies GmbH,Unternehmen,760000.0,81671.0,0.2068965517241379
R003594,Bundesverband der Freien Berufe e. V. (BFB),Verein/Verband,760000.0,10117.0,0.1333333333333333
R000798,DIN Deutsches Institut für Normung e.V.,Verein/Verband,760000.0,10787.0,0.0952380952380952
R001658,K+S Aktiengesellschaft,Unternehmen,750000.0,34131.0,0.0
R001951,Oxfam Deutschland e.V.,Verein/Verband,750000.0,10179.0,0.0
R002169,Roche Pharma AG,Unternehmen,750000.0,79639.0,0.0
R000112,GdW Bundesverband deutscher Wohnungs- und Immobilienunternehmen e.V.,Verein/Verband,750000.0,10785.0,0.0
R003338,Das Leben gehört ins Zentrum.,Verein/Verband,750000.0,48157.0,0.0384615384615384
R002181,BGA - Berlin Global Advisors GmbH,Consulting,750000.0,10707.0,0.1076923076923077
R000855,MEW e.V.,Verein/Verband,750000.0,10117.0,0.0
R002017,Förderkreis Deutsches Heer e.V.,Verein/Verband,740000.0,53111.0,0.0
R001085,MBDA Deutschland GmbH,Unternehmen,740000.0,86529.0,0.1304347826086956
R002706,BKK Dachverband e.V.,Verein/Verband,740000.0,10117.0,0.0
R001623,Bundesverband der Deutschen Sicherheits- und Verteidigungsindustrie e.V.,Verein/Verband,730000.0,10117.0,0.0434782608695652
R004910,Deutsche PalliativStiftung,,730000.0,36037.0,0.0
R003975,Deutsch-Türkische Industrie- und Handelskammer,Verein/Verband,730000.0,,0.0
R000053,Verband der Deutschen Biokraftstoffindustrie e.V (VDB),Verein/Verband,720000.0,10117.0,0.0
R002059,Deutsche Forschungsgemeinschaft e.V.,Verein/Verband,720000.0,53175.0,0.0
R000803,Philips GmbH,Unternehmen,720000.0,22335.0,0.0714285714285714
R003198,Mars GmbH,Unternehmen,720000.0,27283.0,0.0
R002230,Thalia Bücher GmbH,Unternehmen,720000.0,58099.0,0.2
R001248,Hotelverband Deutschland (IHA) e.V.,Verein/Verband,720000.0,10117.0,0.1111111111111111
R001783,ALDI SÜD Dienstleistungs-SE & Co. oHG ,Unternehmen,710000.0,45476.0,0.05
R000395,Deutscher Hebammenverband,Verein/Verband,710000.0,76133.0,0.0
R000350,Stiftung für Mensch und Umwelt,Verein/Verband,700000.0,14163.0,0.0
R003007,United Parcel Service Deutschland S.à r.l. & Co. OHG,Unternehmen,700000.0,41460.0,0.1538461538461538
R001204,Airbus Operations GmbH,Unternehmen,700000.0,21129.0,0.0
R004985,Zentralstelle für die Weiterbildung im Handwerk,Verein/Verband,700000.0,40223.0,0.0
R000912,Bundesverband Musikindustrie e.V.,Verein/Verband,700000.0,10115.0,0.2
